step,loss_function,target_value,elapsed_time
0,9.04778e+00,7.42202e-01,11
100,9.05722e-02,8.56929e-01,19
200,7.06084e-02,8.74973e-01,22
300,3.06669e-01,8.98500e-01,24
400,2.54298e-01,9.19646e-01,26
500,6.84709e-02,9.36667e-01,29
600,7.27352e-02,9.52154e-01,31
700,9.07066e-02,9.68221e-01,34
800,6.48825e-02,9.79159e-01,36
900,8.15692e-02,9.92685e-01,39
1000,6.79522e-02,1.00587e+00,41
1100,8.32212e-02,1.01732e+00,44
1200,7.49354e-02,1.02971e+00,46
1300,4.95336e-02,1.04013e+00,49
1400,3.67796e-02,1.05153e+00,51
1500,3.84779e-02,1.06347e+00,54
1600,3.73192e-02,1.07786e+00,57
1700,3.25481e-02,1.08907e+00,59
1800,8.40764e-02,1.11064e+00,62
1900,2.55650e-02,1.11957e+00,64
2000,4.54817e-02,1.13239e+00,67
